"synonym","species"
"Banksia_meganotia","Dryandra_meganotia"
"Banksia_obovata","Dryandra_cuneata"
"Banksia_octotriginta","Dryandra_octotriginta"
"Banksia_pallida","Dryandra_pallida"
"Banksia_polycephala","Dryandra_polycephala"
"Banksia_porrecta","Dryandra_porrecta"
"Banksia_pseudoplumosa","Dryandra_pseudoplumosa"
"Banksia_serra","Dryandra_serra"
"Banksia_strictifolia","Dryandra_stricta"
"Banksia_stuposa","Dryandra_stuposa"
"Banksia_trifontinalis","Dryandra_trifontinalis"
"Banksia_vestita","Dryandra_vestita"
"Banksia_wonganensis","Dryandra_wonganensis"
"Banksia_xylothemelia","Dryandra_xylothemelia"
"Barbacenia_elegans","Talbotia_elegans"
"Barnardiella_spiralis","Moraea_herrei"
"Bassia_hirsuta","Bassia_crassifolia"
"Bassia_sedoides","Bassia_sedifolia"
"Bauhinia_megalandra","Bauhinia_multinervia"
"Baumea_tenax","Machaerina_tenax"
"Baumea_teretifolia","Machaerina_teretifolia"
"Begonia_meyeri","Begonia_sunorchis"
"Beilschmiedia_austin-smithii","Beilschmiedia_ovalis"
"Beilschmiedia_borneensis","Beilschmiedia_maingayi"
"Belamcanda_flabellata","Iris_domestica"
"Bellucia_imperialis","Bellucia_dichotoma"
"Bequaertiodendron_magalismontanum","Englerophytum_magalismontanum"
"Bequaertiodendron_natalense","Englerophytum_natalense"
"Berberis_nevinii","Odostemon_nevinii"
"Berlinia_acuminata","Berlinia_confusa"
"Berrya_ammonilla","Berrya_cordifolia"
"Betula_austrosinensis","Betula_insignis"
"Bidens_coronata","Bidens_trichosperma"
"Biermannia_decipiens","Pteroceras_decipiens"
"Billia_columbiana","Billia_rosea"
"Bistorta_amplexicaulis","Persicaria_amplexicaulis"
"Bistorta_plumosa","Persicaria_bistorta"
"Blechum_brownei","Blechum_pyramidatum"
"Blepharidium_mexicanum","Blepharidium_guatemalense"
"Blepharistemma_membranifolium","Blepharistemma_serratum"
"Bletia_rosea","Laelia_rosea"
"Blotia_leandriana","Wielandia_leandriana"
"Blumeodendron_subcaudatum","Blumeodendron_kurzii"
"Blumeodendron_subrotundifolium","Blumeodendron_kurzii"
"Bobea_elatior","Bobea_gaudichaudii"
"Boerhavia_dominii","Boerhavia_glabrata"
"Bombacopsis_macrocalyx","Pachira_macrocalyx"
"Bombacopsis_nervosa","Pachira_nervosa"
"Bombacopsis_quinata","Pachira_quinata"
"Bombacopsis_sessilis","Pachira_sessilis"
"Bombax_discolor","Eriotheca_discolor"
"Bombax_endecaphyllum","Pseudobombax_endecaphyllum"
"Bombax_paraense","Pachira_paraensis"
"Bonniera_appendiculata","Angraecum_appendiculatum"
"Bouea_gandaria","Bouea_oppositifolia"
"Bouea_microphylla","Bouea_oppositifolia"
"Bourreria_succulenta","Bourreria_baccata"
"Bouteloua_trifida","Chondrosum_trifidum"
"Brachylaena_hutchinsii","Brachylaena_huillensis"
"Brachystigma_wrightii","Agalinis_wrightii"
"Brackenridgea_hookeri","Brackenridgea_elegantissima"
"Bracteantha_bracteata","Xerochrysum_bracteatum"
"Bracteanthus_glycycarpus","Siparuna_glycycarpa"
"Brahea_nitida","Brahea_calcarea"
"Brasenia_peltata","Brasenia_schreberi"
"Brassaiopsis_alpina","Merrilliopanax_alpinus"
"Breonia_keliravina","Breonia_decaryana"
"Breviea_leptosperma","Breviea_sericea"
"Brevilongium_globuliferum","Otoglossum_globuliferum"
"Breweria_rotundifolia","Evolvulus_rotundifolius"
"Briegeria_equitantifolia","Jacquiniella_equitantifolia"
"Bromus_stamineus","Bromus_cebadilla"
"Bromus_valdivianus","Bromus_cebadilla"
"Brosimum_caloxylon","Brosimum_rubescens"
"Brosimum_paraense","Brosimum_rubescens"
"Browneopsis_ucayalina","Brownea_ucayalina"
"Brucea_amarissima","Brucea_javanica"
"Brucea_ferruginea","Brucea_antidysenterica"
"Brucea_macrophylla","Brucea_guineensis"
"Brunellia_darienensis","Brunellia_acostae"
"Brunsvigia_appendiculata","Brunsvigia_bosmaniae"
"Brunsvigia_multiflora","Brunsvigia_orientalis"
"Bryonia_dioica","Bryonia_alba"
"Buchanania_acuminatissima","Buchanania_insignis"
"Buchanania_angustifolia","Buchanania_axillaris"
"Buchanania_heterophylla","Buchanania_amboinensis"
"Buchanania_lanzan","Buchanania_cochinchinensis"
"Buchanania_latifolia","Buchanania_cochinchinensis"
"Buchenavia_capitata","Buchenavia_tetraphylla"
"Buddleja_nappii","Buddleja_araucana"
"Bumelia_montana","Sideroxylon_montanum"
"Bumelia_rotundifolia","Sideroxylon_rotundifolium"
"Burckella_multinervis","Burckella_fijiensis"
"Cabucala_polysperma","Petchia_madagascariensis"
"Cacalia_aconitifolia","Koyamacalia_adenostyloides"
