Timestamp,What percentage of the world's vascular plant species are woody?,How would you rate your familiarity with plants?,How much formal training have you received in botany?,What continent/country did you receive your biology/botany training?,In what country did you receive your biology/botany training?
06/05/12 11:53,30,Somewhat Familiar,No formal training in botany,,
06/05/12 11:55,40,Very Familiar,Postgraduate degree in botany or a related field,,Turkey
06/05/12 11:55,50,Familiar,Some botany courses at either an undergraduate or postgraduate level,,USA
06/05/12 11:58,12,Familiar,Undergraduate degree in botany or a related field,,USA
06/05/12 12:16,25,Very Familiar,Postgraduate degree in botany or a related field,,USA
06/05/12 12:20,10,Very Familiar,Postgraduate degree in botany or a related field,,USA
06/05/12 12:23,35,Familiar,Some botany courses at either an undergraduate or postgraduate level,,USA
06/05/12 12:24,45,Very Familiar,Postgraduate degree in botany or a related field,,Nepal and USA
06/05/12 13:00,45,Somewhat Familiar,Some botany courses at either an undergraduate or postgraduate level,,USA
06/05/12 13:12,3,Familiar,Some botany courses at either an undergraduate or postgraduate level,,USA
06/05/12 13:28,30,Familiar,Partially complete postgraduate degree in botany or a related field,,USA
06/05/12 13:29,10,Familiar,Postgraduate degree in botany or a related field,,New Zealand
06/05/12 14:02,12,Very Familiar,Postgraduate degree in botany or a related field,,USA
06/05/12 14:26,30,Very Familiar,Partially complete postgraduate degree in botany or a related field,,Canada and USA
06/05/12 14:35,65,Somewhat Familiar,No formal training in botany,,USA
06/05/12 16:16,65,Very Familiar,Postgraduate degree in botany or a related field,,USA
06/05/12 16:40,22,Somewhat Familiar,Some botany courses at either an undergraduate or postgraduate level,,USA
06/05/12 17:20,25,Familiar,Partially complete postgraduate degree in botany or a related field,,USA
06/05/12 17:41,35,Familiar,Some botany courses at either an undergraduate or postgraduate level,,USA
06/05/12 17:48,19,Familiar,Postgraduate degree in botany or a related field,,Australia
06/05/12 17:54,15,Familiar,Postgraduate degree in botany or a related field,,Australia
06/05/12 19:46,38,Very Familiar,Undergraduate degree in botany or a related field,,Guatemala
06/05/12 20:31,5,What's a Plant?,No formal training in botany,,USA
06/05/12 20:37,25,Familiar,Postgraduate degree in botany or a related field,,Estonia
06/05/12 21:20,15,Somewhat Familiar,Some botany courses at either an undergraduate or postgraduate level,,USA
06/05/12 21:36,13,Familiar,Undergraduate degree in botany or a related field,,USA
06/05/12 21:40,40,Very Familiar,Postgraduate degree in botany or a related field,,Australia
06/05/12 21:44,25,Very Familiar,Postgraduate degree in botany or a related field,,Australia
06/05/12 23:33,60,Very Familiar,Postgraduate degree in botany or a related field,,Germany
06/06/12 0:01,20,Somewhat Familiar,Undergraduate degree in botany or a related field,,UK
06/06/12 1:48,25,Familiar,Undergraduate degree in botany or a related field,,Switzerland
06/06/12 5:07,61,Very Familiar,Postgraduate degree in botany or a related field,,Netherlands
06/06/12 6:11,40,Somewhat Familiar,No formal training in botany,,USA
06/06/12 7:15,25,Very Familiar,Postgraduate degree in botany or a related field,,Italy
06/06/12 7:32,32.5,Familiar,Partially complete postgraduate degree in botany or a related field,,Colombia
06/06/12 8:21,45,Familiar,Postgraduate degree in botany or a related field,,Peru
06/06/12 10:31,50,Very Familiar,Postgraduate degree in botany or a related field,,USA
06/06/12 12:08,37,Very Familiar,Postgraduate degree in botany or a related field,,USA
06/06/12 14:55,40,Very Familiar,Postgraduate degree in botany or a related field,,Canada
06/06/12 15:34,47.5,Very Familiar,Postgraduate degree in botany or a related field,,Peru
6/7/2012 5:25:33,15,Familiar,Postgraduate degree in botany or a related field,,UK
6/7/2012 6:48:03,5%,Somewhat Familiar,Undergraduate degree in botany or a related field,,New Zealand
6/7/2012 13:01:08,50,Very Familiar,Postgraduate degree in botany or a related field,,USA
6/8/2012 13:09:29,15,Familiar,Undergraduate degree in botany or a related field,,UK
6/8/2012 15:13:45,40,Very Familiar,Partially complete postgraduate degree in botany or a related field,,USA
6/10/2012 19:42:39,30,Very Familiar,Postgraduate degree in botany or a related field,,USA
6/10/2012 23:25:24,30,Somewhat Familiar,Postgraduate degree in botany or a related field,,New Zealand
6/11/2012 0:31:18,32,What's a Plant?,Some botany courses at either an undergraduate or postgraduate level,,UK
6/11/2012 7:54:31,40,Familiar,Postgraduate degree in botany or a related field,,USA
6/11/2012 12:48:33,20,Familiar,Postgraduate degree in botany or a related field,,Canada
